uniprot,EnsemblGeneID,genename,Description,MitoList,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,HPA_Main_Location_2020 (Reliability),complex,CI,CII,CIII,CIV,CV,mtRibo
P84085,ENSG00000004059,ARF5,ADP ribosylation factor 5,Mito,unknown,0,,Other,,,,,,
P62330,ENSG00000165527,ARF6,ADP ribosylation factor 6,NonMito,,,,Other,,,,,,
Q8N6T3,ENSG00000101199,ARFGAP1,ADP ribosylation factor GTPase activating protein 1,NonMito,,,Golgi apparatus;Vesicles (Supported),Other,,,,,,
Q8N6H7,ENSG00000149182,ARFGAP2,ADP ribosylation factor GTPase activating protein 2,NonMito,,,Golgi apparatus (Supported),Other,,,,,,
Q9NP61,ENSG00000242247,ARFGAP3,ADP ribosylation factor GTPase activating protein 3,NonMito,,,Cytosol (Supported),Other,,,,,,
Q9Y6D6,ENSG00000066777,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,NonMito,,,Golgi apparatus (Enhanced),Other,,,,,,
Q9Y6D5,ENSG00000124198,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2,NonMito,,,Golgi apparatus (Supported),Other,,,,,,
Q5TH69,ENSG00000112379,ARFGEF3,ARFGEF family member 3,NonMito,,,,Other,,,,,,
P53367,ENSG00000164144,ARFIP1,ADP ribosylation factor interacting protein 1,NonMito,,,Golgi apparatus;Vesicles (Supported),Other,,,,,,
P53365,ENSG00000132254,ARFIP2,ADP ribosylation factor interacting protein 2,NonMito,,,Golgi apparatus;Nucleoli fibrillar center;Nucleoplasm (Approved),Other,,,,,,
Q13795,ENSG00000101246,ARFRP1,ADP ribosylation factor related protein 1,NonMito,,,Golgi apparatus (Supported),Other,,,,,,
P05089,ENSG00000118520,ARG1,arginase 1,NonMito,,,,Other,,,,,,
P78540,ENSG00000081181,ARG2,arginase 2,Mito,Matrix,Metabolism;Amino acid metabolism,Mitochondria (Supported),Other,,,,,,
A6NJG6,ENSG00000186103,ARGFX,arginine-fifty homeobox,NonMito,,,,Other,,,,,,
Q9NWB6,ENSG00000134884,ARGLU1,arginine and glutamate rich 1,NonMito,,,Nucleoplasm (Enhanced),Other,,,,,,
Q07960,ENSG00000175220,ARHGAP1,Rho GTPase activating protein 1,NonMito,,,Vesicles (Supported),Other,,,,,,
A1A4S6,ENSG00000071205,ARHGAP10,Rho GTPase activating protein 10,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q6P4F7,ENSG00000198826|ENSG00000275568,ARHGAP11A,Rho GTPase activating protein 11A,NonMito,,,Cytosol (Approved),Other,,,,,,
Q3KRB8,ENSG00000274734|ENSG00000284906|ENSG00000286139,ARHGAP11B,Rho GTPase activating protein 11B,NonMito,,,Vesicles (Uncertain),Other,,,,,,
Q8IWW6,ENSG00000165322,ARHGAP12,Rho GTPase activating protein 12,NonMito,,,,Other,,,,,,
Q53QZ3,ENSG00000075884,ARHGAP15,Rho GTPase activating protein 15,NonMito,,,Golgi apparatus;Vesicles (Uncertain),Other,,,,,,
Q68EM7,ENSG00000140750|ENSG00000288353,ARHGAP17,Rho GTPase activating protein 17,NonMito,,,Cytosol;Nucleoplasm (Approved),Other,,,,,,
Q8N392,ENSG00000146376,ARHGAP18,Rho GTPase activating protein 18,NonMito,,,Cytosol;Plasma membrane (Approved),Other,,,,,,
Q14CB8,ENSG00000213390,ARHGAP19,Rho GTPase activating protein 19,NonMito,,,Plasma membrane (Enhanced),Other,,,,,,
Q9P2F6,ENSG00000137727,ARHGAP20,Rho GTPase activating protein 20,NonMito,,,Mitochondria (Approved),Other,,,,,,
Q5T5U3,ENSG00000107863,ARHGAP21,Rho GTPase activating protein 21,NonMito,,,Actin filaments;Cell Junctions (Supported),Other,,,,,,
Q7Z5H3,ENSG00000128805,ARHGAP22,Rho GTPase activating protein 22,NonMito,,,Cytosol;Nucleoplasm (Supported),Other,,,,,,
Q9P227,ENSG00000273780|ENSG00000275832,ARHGAP23,Rho GTPase activating protein 23,NonMito,,,Nucleoplasm;Plasma membrane (Approved),Other,,,,,,
Q8N264,ENSG00000138639,ARHGAP24,Rho GTPase activating protein 24,NonMito,,,Cytosol;Plasma membrane (Approved),Other,,,,,,
P42331,ENSG00000163219,ARHGAP25,Rho GTPase activating protein 25,NonMito,,,Nucleoplasm;Vesicles (Approved),Other,,,,,,
Q9UNA1,ENSG00000145819,ARHGAP26,Rho GTPase activating protein 26,NonMito,,,Cytosol (Approved),Other,,,,,,
Q6ZUM4,ENSG00000159314|ENSG00000276836|ENSG00000276907,ARHGAP27,Rho GTPase activating protein 27,NonMito,,,Nucleoplasm (Uncertain),Other,,,,,,
B4DXL2,ENSG00000088756,ARHGAP28,Rho GTPase activating protein 28,NonMito,,,Cell Junctions (Supported),Other,,,,,,
Q52LW3,ENSG00000137962,ARHGAP29,Rho GTPase activating protein 29,NonMito,,,Centrosome;Nucleoplasm (Approved),Other,,,,,,
Q7Z6I6,ENSG00000186517,ARHGAP30,Rho GTPase activating protein 30,NonMito,,,Vesicles (Supported),Other,,,,,,
Q2M1Z3,ENSG00000031081,ARHGAP31,Rho GTPase activating protein 31,NonMito,,,,Other,,,,,,
A7KAX9,ENSG00000134909,ARHGAP32,Rho GTPase activating protein 32,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
O14559,ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33,NonMito,,,Plasma membrane (Approved),Other,,,,,,
Q9NRY4,ENSG00000160007,ARHGAP35,Rho GTPase activating protein 35,NonMito,,,Nuclear bodies (Supported),Other,,,,,,
Q6ZRI8,ENSG00000147256,ARHGAP36,Rho GTPase activating protein 36,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q9C0H5,ENSG00000147799,ARHGAP39,Rho GTPase activating protein 39,NonMito,,,Cytosol (Approved),Other,,,,,,
P98171,ENSG00000089820,ARHGAP4,Rho GTPase activating protein 4,NonMito,,,Focal adhesion sites (Approved),Other,,,,,,
0,ENSG00000124143,ARHGAP40,Rho GTPase activating protein 40,NonMito,,,Cytosol;Plasma membrane (Supported),Other,,,,,,
A6NI28,ENSG00000165895,ARHGAP42,Rho GTPase activating protein 42,NonMito,,,Nuclear speckles (Approved),Other,,,,,,
Q17R89,ENSG00000006740,ARHGAP44,Rho GTPase activating protein 44,NonMito,,,,Other,,,,,,
Q92619,ENSG00000180448,ARHGAP45,Rho GTPase activating protein 45,NonMito,,,,Other,,,,,,
Q13017,ENSG00000100852,ARHGAP5,Rho GTPase activating protein 5,NonMito,,,Cytosol;Endoplasmic reticulum (Supported),Other,,,,,,
O43182,ENSG00000047648,ARHGAP6,Rho GTPase activating protein 6,NonMito,,,Cytosol (Supported),Other,,,,,,
P85298,ENSG00000241484,ARHGAP8,Rho GTPase activating protein 8,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q9BRR9,ENSG00000123329,ARHGAP9,Rho GTPase activating protein 9,NonMito,,,,Other,,,,,,
P52565,ENSG00000141522,ARHGDIA,Rho GDP dissociation inhibitor alpha,NonMito,,,Cytosol (Supported),Other,,,,,,
P52566,ENSG00000111348,ARHGDIB,Rho GDP dissociation inhibitor beta,NonMito,,,Cytosol (Supported),Other,,,,,,
Q99819,ENSG00000242173,ARHGDIG,Rho GDP dissociation inhibitor gamma,NonMito,,,Cytosol;Plasma membrane (Approved),Other,,,,,,
Q92888,ENSG00000076928,ARHGEF1,Rho guanine nucleotide exchange factor 1,NonMito,,,Cytosol;Plasma membrane (Enhanced),Other,,,,,,
O15013,ENSG00000104728|ENSG00000274726,ARHGEF10,Rho guanine nucleotide exchange factor 10,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q9HCE6,ENSG00000074964,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,NonMito,,,Cytosol;Golgi apparatus;Vesicles (Approved),Other,,,,,,
O15085,ENSG00000132694,ARHGEF11,Rho guanine nucleotide exchange factor 11,NonMito,,,Plasma membrane (Supported),Other,,,,,,
Q9NZN5,ENSG00000196914,ARHGEF12,Rho guanine nucleotide exchange factor 12,NonMito,,,Cytosol;Plasma membrane (Approved),Other,,,,,,
O94989,ENSG00000198844,ARHGEF15,Rho guanine nucleotide exchange factor 15,NonMito,,,Plasma membrane (Supported),Other,,,,,,
Q5VV41,ENSG00000130762,ARHGEF16,Rho guanine nucleotide exchange factor 16,NonMito,,,,Other,,,,,,
Q96PE2,ENSG00000110237,ARHGEF17,Rho guanine nucleotide exchange factor 17,NonMito,,,Cytosol (Approved),Other,,,,,,
Q6ZSZ5,ENSG00000104880|ENSG00000268861,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18,NonMito,,,Cytosol (Enhanced),Other,,,,,,
Q8IW93,ENSG00000142632,ARHGEF19,Rho guanine nucleotide exchange factor 19,NonMito,,,Nuclear bodies (Approved),Other,,,,,,
Q92974,ENSG00000116584,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,NonMito,,,,Other,,,,,,
Q86VW2,ENSG00000240771,ARHGEF25,Rho guanine nucleotide exchange factor 25,NonMito,,,Vesicles (Approved),Other,,,,,,
Q96DR7,ENSG00000114790|ENSG00000277101,ARHGEF26,Rho guanine nucleotide exchange factor 26,NonMito,,,Plasma membrane (Supported),Other,,,,,,
Q8N1W1,ENSG00000214944,ARHGEF28,Rho guanine nucleotide exchange factor 28,NonMito,,,Cytosol;Microtubules (Approved),Other,,,,,,
Q9NR81,ENSG00000163947,ARHGEF3,Rho guanine nucleotide exchange factor 3,NonMito,,,Cytosol (Approved),Other,,,,,,
A8MVX0,ENSG00000214694,ARHGEF33,Rho guanine nucleotide exchange factor 33,NonMito,,,Vesicles (Supported),Other,,,,,,
A5YM69,ENSG00000213214|ENSG00000288422,ARHGEF35,Rho guanine nucleotide exchange factor 35,NonMito,,,,Other,,,,,,
A1IGU5,ENSG00000183111,ARHGEF37,Rho guanine nucleotide exchange factor 37,NonMito,,,Cytosol (Approved),Other,,,,,,
Q9NXL2,ENSG00000236699,ARHGEF38,Rho guanine nucleotide exchange factor 38,NonMito,,,Centrosome;Nucleoplasm (Approved),Other,,,,,,
Q8N4T4,ENSG00000137135,ARHGEF39,Rho guanine nucleotide exchange factor 39,NonMito,,,,Other,,,,,,
Q9NR80,ENSG00000136002,ARHGEF4,Rho guanine nucleotide exchange factor 4,NonMito,,,,Other,,,,,,
Q8TER5,ENSG00000165801,ARHGEF40,Rho guanine nucleotide exchange factor 40,NonMito,,,Cytosol (Supported),Other,,,,,,
Q12774,ENSG00000050327|ENSG00000284933,ARHGEF5,Rho guanine nucleotide exchange factor 5,NonMito,,,Cytosol;Plasma membrane (Supported),Other,,,,,,
Q15052,ENSG00000129675,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6,NonMito,,,Cytosol (Approved),Other,,,,,,
Q14155,ENSG00000102606,ARHGEF7,Rho guanine nucleotide exchange factor 7,NonMito,,,,Other,,,,,,
O43307,ENSG00000131089,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,NonMito,,,Cytosol (Supported),Other,,,,,,
O14497,ENSG00000117713,ARID1A,AT-rich interaction domain 1A,NonMito,,,Nucleoplasm (Enhanced),Other,,,,,,
Q8NFD5,ENSG00000049618,ARID1B,AT-rich interaction domain 1B,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q68CP9,ENSG00000189079,ARID2,AT-rich interaction domain 2,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q99856,ENSG00000116017,ARID3A,AT-rich interaction domain 3A,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q8IVW6,ENSG00000179361,ARID3B,AT-rich interaction domain 3B,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
A6NKF2,ENSG00000205143,ARID3C,AT-rich interaction domain 3C,NonMito,,,,Other,,,,,,
P29374,ENSG00000032219,ARID4A,AT-rich interaction domain 4A,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q4LE39,ENSG00000054267,ARID4B,AT-rich interaction domain 4B,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q03989,ENSG00000196843,ARID5A,AT-rich interaction domain 5A,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q14865,ENSG00000150347,ARID5B,AT-rich interaction domain 5B,NonMito,,,Endoplasmic reticulum (Approved),Other,,,,,,
Q9Y4X5,ENSG00000166233,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
O95376,ENSG00000177479,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2,NonMito,,,Nucleoplasm (Enhanced),Other,,,,,,
Q8N7S6,ENSG00000221883,ARIH2OS,ariadne homolog 2 opposite strand,NonMito,,,,Other,,,,,,
P40616,ENSG00000120805,ARL1,ADP ribosylation factor like GTPase 1,NonMito,,,Golgi apparatus (Supported),Other,,,,,,
Q8N8L6,ENSG00000175414,ARL10,ADP ribosylation factor like GTPase 10,NonMito,,,,Other,,,,,,
Q969Q4,ENSG00000152213,ARL11,ADP ribosylation factor like GTPase 11,NonMito,,,,Other,,,,,,
Q5H913,ENSG00000174225,ARL13A,ADP ribosylation factor like GTPase 13A,NonMito,,,,Other,,,,,,
Q3SXY8,ENSG00000169379,ARL13B,ADP ribosylation factor like GTPase 13B,NonMito,,,Microtubules (Uncertain),Other,,,,,,
Q8N4G2,ENSG00000179674,ARL14,ADP ribosylation factor like GTPase 14,NonMito,,,,Other,,,,,,
Q8N8R7,ENSG00000152219,ARL14EP,ADP ribosylation factor like GTPase 14 effector protein,NonMito,,,Cytosol;Focal adhesion sites;Vesicles (Supported),Other,,,,,,
P0DKL9,ENSG00000268223,ARL14EPL,ADP ribosylation factor like GTPase 14 effector protein like,NonMito,,,,Other,,,,,,
Q9NXU5,ENSG00000185305,ARL15,ADP ribosylation factor like GTPase 15,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
Q0P5N6,ENSG00000214087,ARL16,ADP ribosylation factor like GTPase 16,NonMito,,,,Other,,,,,,
A0A087WVX3,ENSG00000185829|ENSG00000228696|ENSG00000275748|ENSG00000276276,ARL17A,ADP ribosylation factor like GTPase 17A,NonMito,,,,Other,,,,,,
0,ENSG00000228696|ENSG00000275748|ENSG00000276276,ARL17B,ADP ribosylation factor like GTPase 17B,NonMito,,,,Other,,,,,,
P36404,ENSG00000213465,ARL2,ADP ribosylation factor like GTPase 2,Mito,IMS,Mitochondrial dynamics and surveillance;Fusion,Nucleoplasm (Approved),Other,,,,,,
Q9Y2Y0,ENSG00000102931,ARL2BP,ADP ribosylation factor like GTPase 2 binding protein,NonMito,,,,Other,,,,,,
P36405,ENSG00000138175,ARL3,ADP ribosylation factor like GTPase 3,NonMito,,,Centrosome (Supported),Other,,,,,,
P40617,ENSG00000122644,ARL4A,ADP ribosylation factor like GTPase 4A,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
P56559,ENSG00000188042,ARL4C,ADP ribosylation factor like GTPase 4C,NonMito,,,Plasma membrane (Supported),Other,,,,,,
P49703,ENSG00000175906,ARL4D,ADP ribosylation factor like GTPase 4D,NonMito,,,Vesicles (Approved),Other,,,,,,
Q9Y689,ENSG00000162980,ARL5A,ADP ribosylation factor like GTPase 5A,NonMito,,,,Other,,,,,,
Q96KC2,ENSG00000165997,ARL5B,ADP ribosylation factor like GTPase 5B,NonMito,,,,Other,,,,,,
A6NH57,ENSG00000141748,ARL5C,ADP ribosylation factor like GTPase 5C,NonMito,,,,Other,,,,,,
Q9H0F7,ENSG00000113966,ARL6,ADP ribosylation factor like GTPase 6,NonMito,,,Nucleoplasm;Vesicles (Approved),Other,,,,,,
Q15041,ENSG00000170540,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1,NonMito,,,Endoplasmic reticulum (Approved),Other,,,,,,
Q66PJ3,ENSG00000182196,ARL6IP4,ADP ribosylation factor like GTPase 6 interacting protein 4,NonMito,,,,Other,,,,,,
O75915,ENSG00000144746,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,NonMito,,,Endoplasmic reticulum (Approved),Other,,,,,,
Q8N6S5,ENSG00000177917,ARL6IP6,ADP ribosylation factor like GTPase 6 interacting protein 6,NonMito,,,Nuclear membrane (Approved),Other,,,,,,
Q96BM9,ENSG00000143862,ARL8A,ADP ribosylation factor like GTPase 8A,NonMito,,,,Other,,,,,,
Q9NVJ2,ENSG00000134108,ARL8B,ADP ribosylation factor like GTPase 8B,NonMito,,,,Other,,,,,,
Q6T311,ENSG00000196503,ARL9,ADP ribosylation factor like GTPase 9,NonMito,,,Mitochondria (Approved),Other,,,,,,
Q9NVT9,ENSG00000104442,ARMC1,armadillo repeat containing 1,NonMito,,,Mitochondria (Supported),Other,,,,,,
Q8N2F6,ENSG00000170632|ENSG00000282813,ARMC10,armadillo repeat containing 10,Mito,MOM,Mitochondrial dynamics and surveillance;Fission;Mitochondrial dynamics and surveillance;Trafficking,Mitochondria (Enhanced),Other,,,,,,
Q5T9G4,ENSG00000157343,ARMC12,armadillo repeat containing 12,NonMito,,,Nucleoplasm;Plasma membrane (Approved),Other,,,,,,
Q8NEN0,ENSG00000118690,ARMC2,armadillo repeat containing 2,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q5W041,ENSG00000165309,ARMC3,armadillo repeat containing 3,NonMito,,,,Other,,,,,,
Q5T2S8,ENSG00000169126,ARMC4,armadillo repeat containing 4,NonMito,,,,Other,,,,,,
Q96C12,ENSG00000140691,ARMC5,armadillo repeat containing 5,NonMito,,,Cytosol;Nucleoplasm (Approved),Other,,,,,,
Q6NXE6,ENSG00000105676,ARMC6,armadillo repeat containing 6,NonMito,,,Cytosol (Enhanced),Other,,,,,,
Q9H6L4,ENSG00000125449,ARMC7,armadillo repeat containing 7,NonMito,,,Cytosol (Supported),Other,,,,,,
Q8IUR7,ENSG00000114098,ARMC8,armadillo repeat containing 8,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q7Z3E5,ENSG00000135931,ARMC9,armadillo repeat containing 9,NonMito,,,,Other,,,,,,
Q9P291,ENSG00000126947,ARMCX1,armadillo repeat containing X-linked 1,Mito,MOM,Mitochondrial dynamics and surveillance;Trafficking,Mitochondria;Nucleoplasm (Approved),Other,,,,,,
Q7L311,ENSG00000184867,ARMCX2,armadillo repeat containing X-linked 2,Mito,Membrane,0,Mitochondria (Approved),Other,,,,,,
Q9UH62,ENSG00000102401,ARMCX3,armadillo repeat containing X-linked 3,Mito,MOM,Mitochondrial dynamics and surveillance;Trafficking,Nucleoplasm (Approved),Other,,,,,,
F8W8Y7,ENSG00000196440,ARMCX4,armadillo repeat containing X-linked 4,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q6P1M9,ENSG00000125962,ARMCX5,armadillo repeat containing X-linked 5,NonMito,,,Cytosol;Nuclear speckles (Approved),Other,,,,,,
0,ENSG00000158301|ENSG00000286237,ARMCX5-GPRASP2,ARMCX5-GPRASP2 readthrough,NonMito,,,,Other,,,,,,
Q7L4S7,ENSG00000198960,ARMCX6,armadillo repeat containing X-linked 6,Mito,Membrane,0,Cytosol (Supported),Other,,,,,,
Q6PIY5,ENSG00000198520,ARMH1,armadillo like helical domain containing 1,NonMito,,,Cytosol (Uncertain),Other,,,,,,
H3BNL8,ENSG00000260286,ARMH2,armadillo like helical domain containing 2,NonMito,,,,Other,,,,,,
Q5T2E6,ENSG00000120029,ARMH3,armadillo like helical domain containing 3,NonMito,,,Vesicles (Approved),Other,,,,,,
Q86TY3,ENSG00000139971,ARMH4,armadillo like helical domain containing 4,NonMito,,,Plasma membrane (Approved),Other,,,,,,
P0C7Q2,ENSG00000254636,ARMS2,age-related maculopathy susceptibility 2,NonMito,,,,Other,,,,,,
Q9H993,ENSG00000146476,ARMT1,acidic residue methyltransferase 1,NonMito,,,Cytosol;Nuclear bodies;Nucleoplasm (Approved),Other,,,,,,
P27540,ENSG00000143437,ARNT,aryl hydrocarbon receptor nuclear translocator,NonMito,,,Nuclear bodies;Nucleoplasm (Supported),Other,,,,,,
Q9HBZ2,ENSG00000172379,ARNT2,aryl hydrocarbon receptor nuclear translocator 2,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
O00327,ENSG00000133794,ARNTL,aryl hydrocarbon receptor nuclear translocator like,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
Q8WYA1,ENSG00000029153,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2,NonMito,,,Nucleoli;Nucleoplasm (Supported),Other,,,,,,
Q92747,ENSG00000241685,ARPC1A,actin related protein 2/3 complex subunit 1A,NonMito,,,Cell Junctions (Approved),Other,,,,,,
O15143,ENSG00000130429,ARPC1B,actin related protein 2/3 complex subunit 1B,NonMito,,,Cytosol;Vesicles (Supported),Other,,,,,,
O15144,ENSG00000163466,ARPC2,actin related protein 2/3 complex subunit 2,NonMito,,,Cytosol (Supported),Other,,,,,,
O15145,ENSG00000111229,ARPC3,actin related protein 2/3 complex subunit 3,NonMito,,,Nucleoplasm (Uncertain),Other,,,,,,
P59998,ENSG00000241553,ARPC4,actin related protein 2/3 complex subunit 4,NonMito,,,,Other,,,,,,
A0A0A6YYG9,ENSG00000250151,ARPC4-TTLL3,ARPC4-TTLL3 readthrough,NonMito,,,,Other,,,,,,
O15511,ENSG00000162704,ARPC5,actin related protein 2/3 complex subunit 5,NonMito,,,Cell Junctions;Cytosol;Plasma membrane;Vesicles (Approved),Other,,,,,,
Q9BPX5,ENSG00000136950,ARPC5L,actin related protein 2/3 complex subunit 5 like,NonMito,,,,Other,,,,,,
Q7Z6K5,ENSG00000242498,ARPIN,actin related protein 2/3 complex inhibitor,NonMito,,,,Other,,,,,,
A0A0A6YYH1,ENSG00000250021,ARPIN-AP3S2,ARPIN-AP3S2 readthrough,NonMito,,,Vesicles (Approved),Other,,,,,,
P56211,ENSG00000128989,ARPP19,cAMP regulated phosphoprotein 19,NonMito,,,,Other,,,,,,
Q9UBL0,ENSG00000172995,ARPP21,cAMP regulated phosphoprotein 21,NonMito,,,Nucleoli (Approved),Other,,,,,,
P36575,ENSG00000120500,ARR3,arrestin 3,NonMito,,,,Other,,,,,,
P49407,ENSG00000137486,ARRB1,arrestin beta 1,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
P32121,ENSG00000141480,ARRB2,arrestin beta 2,NonMito,,,Vesicles (Supported),Other,,,,,,
Q8N5I2,ENSG00000197070,ARRDC1,arrestin domain containing 1,NonMito,,,,Other,,,,,,
Q8TBH0,ENSG00000105643,ARRDC2,arrestin domain containing 2,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q96B67,ENSG00000113369,ARRDC3,arrestin domain containing 3,NonMito,,,,Other,,,,,,
Q8NCT1,ENSG00000140450,ARRDC4,arrestin domain containing 4,NonMito,,,Plasma membrane (Supported),Other,,,,,,
A6NEK1,ENSG00000205784,ARRDC5,arrestin domain containing 5,NonMito,,,,Other,,,,,,
P15289,ENSG00000100299,ARSA,arylsulfatase A,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
P15848,ENSG00000113273,ARSB,arylsulfatase B,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
P51689,ENSG00000006756,ARSD,arylsulfatase D,NonMito,,,Lipid droplets;Vesicles (Approved),Other,,,,,,
P54793,ENSG00000062096,ARSF,arylsulfatase F,NonMito,,,Cytosol (Uncertain),Other,,,,,,
Q96EG1,ENSG00000141337,ARSG,arylsulfatase G,NonMito,,,,Other,,,,,,
Q5FYA8,ENSG00000205667,ARSH,arylsulfatase family member H,NonMito,,,,Other,,,,,,
Q5FYB1,ENSG00000183876,ARSI,arylsulfatase family member I,NonMito,,,Golgi apparatus (Approved),Other,,,,,,
Q5FYB0,ENSG00000180801,ARSJ,arylsulfatase family member J,NonMito,,,Actin filaments (Supported),Other,,,,,,
Q6UWY0,ENSG00000164291,ARSK,arylsulfatase family member K,NonMito,,,Vesicles (Approved),Other,,,,,,
P51690,ENSG00000157399,ARSL,arylsulfatase L,NonMito,,,Golgi apparatus (Supported),Other,,,,,,
P52961,ENSG00000129744,ART1,ADP-ribosyltransferase 1,NonMito,,,,Other,,,,,,
Q13508,ENSG00000156219,ART3,ADP-ribosyltransferase 3 (inactive),NonMito,,,,Other,,,,,,
Q93070,ENSG00000111339,ART4,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group),NonMito,,,Rods & Rings (Approved),Other,,,,,,
Q96L15,ENSG00000167311,ART5,ADP-ribosyltransferase 5,NonMito,,,,Other,,,,,,
Q5T4W7,ENSG00000117407,ARTN,artemin,NonMito,,,,Other,,,,,,
Q9H2C2,ENSG00000173409,ARV1,"ARV1 homolog, fatty acid homeostasis modulator",NonMito,,,Vesicles (Approved),Other,,,,,,
O00192,ENSG00000099889,ARVCF,ARVCF delta catenin family member,NonMito,,,Cell Junctions;Plasma membrane (Enhanced),Other,,,,,,
Q96QS3,ENSG00000004848,ARX,aristaless related homeobox,NonMito,,,,Other,,,,,,
Q9HBK9,ENSG00000214435,AS3MT,arsenite methyltransferase,NonMito,,,Mitochondria (Approved),Other,,,,,,
Q13510,ENSG00000104763,ASAH1,N-acylsphingosine amidohydrolase 1,NonMito,,,,Other,,,,,,
Q9NR71,ENSG00000188611,ASAH2,N-acylsphingosine amidohydrolase 2,NonMito,,,Focal adhesion sites (Approved),Other,,,,,,
P0C7U1,ENSG00000204147,ASAH2B,N-acylsphingosine amidohydrolase 2B,NonMito,,,Focal adhesion sites (Approved),Other,,,,,,
Q9ULH1,ENSG00000153317,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",NonMito,,,Centrosome;Cytosol;Plasma membrane (Approved),Other,,,,,,
O43150,ENSG00000151693,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",NonMito,,,Cytosol (Supported),Other,,,,,,
Q8TDY4,ENSG00000088280|ENSG00000282854,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",NonMito,,,Vesicles (Supported),Other,,,,,,
Q9Y576,ENSG00000065802,ASB1,ankyrin repeat and SOCS box containing 1,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q8WXI3,ENSG00000146926,ASB10,ankyrin repeat and SOCS box containing 10,NonMito,,,,Other,,,,,,
Q8WXH4,ENSG00000165192,ASB11,ankyrin repeat and SOCS box containing 11,NonMito,,,,Other,,,,,,
Q8WXK4,ENSG00000198881,ASB12,ankyrin repeat and SOCS box containing 12,NonMito,,,,Other,,,,,,
Q8WXK3,ENSG00000196372,ASB13,ankyrin repeat and SOCS box containing 13,NonMito,,,Golgi apparatus;Nucleoplasm (Approved),Other,,,,,,
A6NK59,ENSG00000239388,ASB14,ankyrin repeat and SOCS box containing 14,NonMito,,,,Other,,,,,,
Q8WXK1,ENSG00000146809,ASB15,ankyrin repeat and SOCS box containing 15,NonMito,,,,Other,,,,,,
Q96NS5,ENSG00000161664,ASB16,ankyrin repeat and SOCS box containing 16,NonMito,,,Focal adhesion sites (Approved),Other,,,,,,
Q8WXJ9,ENSG00000154007,ASB17,ankyrin repeat and SOCS box containing 17,NonMito,,,,Other,,,,,,
Q6ZVZ8,ENSG00000182177,ASB18,ankyrin repeat and SOCS box containing 18,NonMito,,,,Other,,,,,,
Q96Q27,ENSG00000100628|ENSG00000278693,ASB2,ankyrin repeat and SOCS box containing 2,NonMito,,,Nucleoli fibrillar center (Approved),Other,,,,,,
A0A0A6YY97,ENSG00000115239,ASB3,ankyrin repeat and SOCS box containing 3,NonMito,,,,Other,,,,,,
Q9Y574,ENSG00000005981,ASB4,ankyrin repeat and SOCS box containing 4,NonMito,,,,Other,,,,,,
Q8WWX0,ENSG00000164122,ASB5,ankyrin repeat and SOCS box containing 5,NonMito,,,Plasma membrane (Approved),Other,,,,,,
